训练开始时间: 2025_03_10_10_49_29
--------------------------------------------------
开始训练 - 保存路径: /data/projects/my_stego/results/atwbwbrhrctqdkrk-snow-6c7f6b9696-7bgqc_2025_03_10_10_49_29
------------------开始训练------------------
Epoch [34/200], Train - HLoss: 0.0028, RLoss: 0.0023, Sectet PSNR: 27.17dB, Val - Cover PSNR: 25.33dB, Secret PSNR: 25.35dB, Time: 868.38s
Epoch [35/200], Train - HLoss: 0.0025, RLoss: 0.0018, Sectet PSNR: 28.02dB, Val - Cover PSNR: 26.62dB, Secret PSNR: 28.48dB, Time: 894.02s
Epoch [36/200], Train - HLoss: 0.0023, RLoss: 0.0018, Sectet PSNR: 27.98dB, Val - Cover PSNR: 25.68dB, Secret PSNR: 28.36dB, Time: 920.20s
Epoch [37/200], Train - HLoss: 0.0023, RLoss: 0.0020, Sectet PSNR: 28.01dB, Val - Cover PSNR: 23.82dB, Secret PSNR: 25.98dB, Time: 945.94s
Epoch [38/200], Train - HLoss: 0.0022, RLoss: 0.0015, Sectet PSNR: 28.96dB, Val - Cover PSNR: 27.61dB, Secret PSNR: 30.05dB, Time: 971.22s
Epoch [39/200], Train - HLoss: 0.0019, RLoss: 0.0014, Sectet PSNR: 29.15dB, Val - Cover PSNR: 27.32dB, Secret PSNR: 29.15dB, Time: 996.59s
Epoch [40/200], Train - HLoss: 0.0023, RLoss: 0.0018, Sectet PSNR: 28.10dB, Val - Cover PSNR: 26.30dB, Secret PSNR: 28.91dB, Time: 1022.09s
Epoch [41/200], Train - HLoss: 0.0021, RLoss: 0.0014, Sectet PSNR: 29.11dB, Val - Cover PSNR: 27.77dB, Secret PSNR: 30.13dB, Time: 1047.95s
Epoch [42/200], Train - HLoss: 0.0025, RLoss: 0.0020, Sectet PSNR: 27.62dB, Val - Cover PSNR: 27.22dB, Secret PSNR: 25.58dB, Time: 1073.24s
Epoch [43/200], Train - HLoss: 0.0020, RLoss: 0.0014, Sectet PSNR: 28.93dB, Val - Cover PSNR: 26.96dB, Secret PSNR: 29.32dB, Time: 1098.34s
Epoch [44/200], Train - HLoss: 0.0021, RLoss: 0.0015, Sectet PSNR: 28.71dB, Val - Cover PSNR: 27.73dB, Secret PSNR: 29.47dB, Time: 1123.67s
Epoch [45/200], Train - HLoss: 0.0020, RLoss: 0.0017, Sectet PSNR: 28.60dB, Val - Cover PSNR: 27.06dB, Secret PSNR: 28.94dB, Time: 1149.13s
